Time (s),Roll Rate (deg/s),Pitch Rate (deg/s),Yaw Rate (deg/s),X acc (m/s2),Y acc (m/s2),Z acc (m/s2),Roll (deg),Pitch (deg),Yaw (deg),N pos (m),E pos (m),Elevation (m),GPS Speed (m/s),Airspeed (m/s),Aileron (deg),Elevator (deg),Thrust (normalized),Rudder (deg)
751.64,0.015403,0.060826,0.21898,0.99515,-0.061394,-9.7259,0.091876,1.6672,0,5.782,-4.2901,-0.038807,0.18622,-0.12641,0.057217,1.4019,0,0.041748
751.66,-0.0101,0.054704,0.20634,0.9864,-0.079192,-9.7254,0.10185,1.6522,0,5.782,-4.2918,-0.036908,0.17499,-0.04625,0.066394,1.3943,0,0.041748
751.68,-0.010774,0.058283,0.17182,0.97909,-0.075024,-9.7331,0.1146,1.6345,0,5.7821,-4.2934,-0.03508,0.16376,0.033914,0.075572,1.3867,0,0.041748
751.7,-0.017285,0.089532,0.21651,0.99252,-0.075162,-9.7126,0.13975,1.6043,0,5.7821,-4.2948,-0.033544,0.15253,0.082865,0.08475,1.3791,0,0.041748
751.72,-0.0042584,0.044475,0.22084,0.99631,-0.073337,-9.7162,0.16386,1.5732,0,5.7821,-4.2962,-0.032045,0.14129,0.018926,0.10967,1.3874,0,0.041748
751.74,0.05866,0.049438,0.23076,0.9944,-0.065819,-9.7205,0.18374,1.5385,0,5.782,-4.2974,-0.030689,0.13006,-0.045012,0.20124,1.4632,0,0.041748
751.76,0.094576,0.10643,0.21999,0.98202,-0.059582,-9.7192,0.20538,1.5037,0,5.7819,-4.2986,-0.029457,0.11883,-0.10895,0.29282,1.539,0,0.041748
751.78,0.049087,0.11643,0.24174,0.99467,-0.06229,-9.7318,0.23494,1.4692,0,5.7817,-4.2996,-0.02876,0.10759,-0.17289,0.38439,1.6148,0,0.041748
751.8,0.11652,0.067088,0.18671,1.0053,-0.062361,-9.7302,0.26383,1.4346,0,5.7816,-4.3006,-0.02807,0.096362,-0.22027,0.47597,1.6906,0,0.041748
751.82,0.16042,0.091199,0.19463,0.99132,-0.065376,-9.7139,0.28893,1.3995,0,5.7814,-4.3015,-0.027422,0.085129,-0.20391,0.53838,1.7422,3.98E-05,0.041748
751.84,0.10164,0.069767,0.22156,0.98599,-0.072999,-9.7055,0.31081,1.3692,0.00080795,5.7811,-4.3025,-0.026704,0.076639,-0.18755,0.44569,1.6655,0.00029118,0.041748
751.86,0.062078,0.069919,0.27663,0.99673,-0.074143,-9.7303,0.31583,1.3642,0.0058263,5.7804,-4.3039,-0.025671,0.079027,-0.1712,0.35301,1.5888,0.00054256,0.041748
751.88,0.0050748,0.064727,0.23765,0.99556,-0.075298,-9.7391,0.3183,1.3626,0.0091496,5.7798,-4.3053,-0.024693,0.081416,-0.15484,0.26032,1.5121,0.00079395,0.041748
751.9,0.01434,0.080433,0.2273,0.99654,-0.070655,-9.732,0.30819,1.3777,0.004097,5.7791,-4.3065,-0.023961,0.083805,-0.14163,0.16763,1.4354,0.0010453,0.041748
751.92,-0.045733,0.084354,0.19589,0.99007,-0.075521,-9.7368,0.29716,1.3938,0.00094724,5.7785,-4.3077,-0.023247,0.086194,-0.14031,0.092175,1.373,0.0012033,0.040189
751.94,-0.035946,0.10127,0.23321,0.9979,-0.073274,-9.7402,0.28213,1.4138,0.0059551,5.7778,-4.3088,-0.022601,0.088582,-0.13899,0.092175,1.373,0.00095213,0.0318
751.96,-0.035631,0.070975,0.20919,0.99204,-0.080663,-9.7287,0.26716,1.4328,0.01,5.7771,-4.3098,-0.022099,0.090971,-0.13767,0.092175,1.373,0.00070095,0.023411
751.98,-0.011618,0.10149,0.20724,1.0048,-0.071113,-9.7233,0.2524,1.4476,0.01,5.7764,-4.3107,-0.022146,0.09336,-0.13634,0.092175,1.373,0.00044977,0.015022
752,0.057645,0.073624,0.20633,0.99538,-0.059306,-9.7233,0.23758,1.4624,0.01,5.7758,-4.3115,-0.02219,0.095748,-0.13667,0.092175,1.373,0.00019859,0.0066325
752.02,0.082551,0.096341,0.23024,0.99776,-0.066729,-9.7217,0.2224,1.4776,0.01,5.7751,-4.3123,-0.022219,0.098137,-0.14405,0.090252,1.373,5.22E-05,0.0034841
752.04,0.13018,0.07111,0.19774,1.0008,-0.071054,-9.7195,0.21091,1.4909,0.0090918,5.7746,-4.3133,-0.021942,0.10372,-0.15143,0.081068,1.373,0.00030125,0.020122
752.06,0.098987,0.059411,0.21237,0.99976,-0.073161,-9.7326,0.21588,1.4959,0.0041153,5.7751,-4.3153,-0.020407,0.12063,-0.15881,0.071884,1.373,0.00055034,0.036761
752.08,0.10749,0.095185,0.22469,0.99726,-0.072701,-9.7375,0.22263,1.4982,0.00087516,5.7756,-4.3172,-0.018893,0.13754,-0.16619,0.0627,1.373,0.00079942,0.053399
752.1,0.090755,0.089007,0.15831,1.0018,-0.06644,-9.7384,0.2378,1.4881,0.0059324,5.776,-4.319,-0.017466,0.15445,-0.17852,0.053516,1.373,0.0010485,0.070037
752.12,0.043306,0.084257,0.193,0.99253,-0.060468,-9.7369,0.25195,1.478,0.01,5.7764,-4.3206,-0.016073,0.17136,-0.20991,0.046087,1.373,0.00125,0.081901
752.14,-0.003158,0.072237,0.18654,0.98498,-0.061113,-9.7291,0.26192,1.4681,0.01,5.7766,-4.3222,-0.01481,0.18827,-0.24131,0.046087,1.373,0.00125,0.073551
752.16,0.014882,0.077923,0.21291,1.0052,-0.061676,-9.7254,0.27278,1.4581,0.01,5.7769,-4.3236,-0.013521,0.20518,-0.27271,0.046087,1.373,0.00125,0.065202
752.18,0.013441,0.076182,0.21189,0.99838,-0.062539,-9.7386,0.28744,1.4484,0.01,5.777,-4.3249,-0.012133,0.22208,-0.30411,0.046087,1.373,0.00125,0.056853
752.2,-0.014769,0.040131,0.2232,0.98648,-0.061328,-9.7412,0.30073,1.4385,0.01,5.7772,-4.3262,-0.010759,0.23899,-0.31563,0.046087,1.373,0.00125,0.048504
752.22,0.027358,0.086689,0.22603,0.98851,-0.059392,-9.7249,0.30581,1.4284,0.01,5.7773,-4.3273,-0.0094682,0.2559,-0.24294,0.046087,1.373,0.0012024,0.041748
752.24,0.097918,0.060478,0.20068,1.0052,-0.062949,-9.7195,0.3135,1.4182,0.01,5.778,-4.3287,-0.0081211,0.27184,-0.17025,0.046087,1.373,0.00095308,0.041748
752.26,0.086599,0.088766,0.21354,1.0061,-0.055733,-9.712,0.33354,1.4082,0.01,5.7816,-4.3312,-0.006532,0.28416,-0.097565,0.046087,1.373,0.00070375,0.041748
752.28,0.088966,0.11208,0.17553,0.98929,-0.058574,-9.7211,0.35357,1.3991,0.01,5.7851,-4.3336,-0.0049627,0.29647,-0.024877,0.046087,1.373,0.00045442,0.041748
752.3,0.11439,0.077926,0.18772,0.9805,-0.062219,-9.7414,0.37361,1.3941,0.01,5.7882,-4.3357,-0.0034764,0.30878,0.024196,0.046087,1.373,0.00020509,0.041748
752.32,0.11629,0.046278,0.19449,0.99222,-0.069248,-9.7278,0.39276,1.3882,0.01,5.7913,-4.3378,-0.0020159,0.32109,-0.011097,0.047732,1.373,0,0.041748
752.34,0.11782,0.033817,0.19903,0.99251,-0.062477,-9.7128,0.40787,1.3781,0.01,5.7942,-4.3398,-0.00066406,0.33341,-0.046389,0.056999,1.373,0,0.041748
752.36,0.037237,0.087698,0.20882,0.98716,-0.050057,-9.7161,0.42385,1.369,0.010964,5.797,-4.3417,0.00064759,0.34572,-0.081681,0.066267,1.373,0,0.041748
752.38,0.0045738,0.04463,0.20905,0.99929,-0.059277,-9.7215,0.44336,1.3642,0.01584,5.7995,-4.3433,0.0018094,0.35803,-0.11697,0.075534,1.373,0,0.041748
752.4,-0.054138,0.031248,0.24852,0.99355,-0.070421,-9.7256,0.46224,1.3585,0.02,5.8019,-4.345,0.0029581,0.37034,-0.14589,0.084802,1.373,0,0.041748
752.42,-0.029533,0.056202,0.28042,0.98097,-0.061345,-9.7404,0.47751,1.3483,0.02,5.8043,-4.3465,0.0040363,0.38265,-0.14548,0.092175,1.373,0.00010179,0.041748
752.44,0.018599,0.089975,0.22572,0.99074,-0.055844,-9.7402,0.49263,1.3391,0.02,5.8063,-4.3476,0.0051337,0.39497,-0.14507,0.092175,1.373,0.00059977,0.041748
752.46,0.026673,0.050527,0.24244,0.98729,-0.060744,-9.7266,0.50703,1.3343,0.02,5.8068,-4.3471,0.0063127,0.39666,-0.14467,0.092175,1.373,0.0010978,0.041748
752.48,-0.0031027,0.067162,0.23761,0.9943,-0.068504,-9.7419,0.51581,1.3358,0.019477,5.807,-4.3463,0.0075184,0.36019,-0.14426,0.092175,1.373,0.0015957,0.041748
752.5,0.060964,0.10233,0.21018,0.99452,-0.071775,-9.7295,0.47392,1.3934,0.014239,5.8059,-4.3438,0.0089344,0.32372,-0.14088,0.092175,1.373,0.0020937,0.041748
752.52,0.051478,0.12389,0.15062,0.99331,-0.067399,-9.7251,0.43239,1.4495,0.01,5.8047,-4.3413,0.010307,0.28725,-0.12662,0.088785,1.3744,0.0023621,0.041748
752.54,0.11971,0.10437,0.20496,0.99456,-0.060372,-9.72,0.39244,1.4995,0.01,5.8037,-4.3391,0.011512,0.25077,-0.11236,0.07038,1.382,0.0016133,0.041748
752.56,0.10326,0.12105,0.21846,0.99448,-0.066007,-9.7388,0.35261,1.5502,0.01,5.8026,-4.3369,0.012714,0.2143,-0.098095,0.051974,1.3896,0.0008645,0.041748
752.58,0.095046,0.099155,0.21235,0.99757,-0.06811,-9.7336,0.3133,1.6042,0.01,5.8016,-4.3348,0.013906,0.17783,-0.083833,0.033569,1.3972,0.0001157,0.041748
752.6,0.037521,0.07254,0.19643,0.98901,-0.07284,-9.7244,0.27457,1.6585,0.0092237,5.8006,-4.3327,0.015079,0.14135,-0.07707,0.015163,1.4048,-0.0006331,0.041748
752.62,0.015643,0.10085,0.19762,0.9965,-0.081909,-9.7414,0.23901,1.7144,0.0041446,5.7996,-4.3306,0.016159,0.10488,-0.10042,0,1.4111,-0.001206,0.041748
752.64,-0.0052547,0.049812,0.19714,0.98987,-0.071679,-9.733,0.20908,1.7609,0,5.7989,-4.3286,0.017285,0.078858,-0.12377,0,1.4111,-0.00095613,0.041748
752.66,0.021856,0.096489,0.24575,0.98702,-0.074441,-9.7282,0.20407,1.7659,0,5.7992,-4.3268,0.018602,0.091565,-0.14712,0,1.4111,-0.00070627,0.041748
752.68,0.0059469,0.1019,0.1958,0.98879,-0.072213,-9.7149,0.20558,1.7616,0,5.7994,-4.325,0.019879,0.10427,-0.17047,0,1.4111,-0.00045641,0.041748
752.7,0.071596,0.10251,0.16933,1.0015,-0.060627,-9.7252,0.23543,1.7169,0,5.7996,-4.3232,0.020991,0.11698,-0.18985,0,1.4111,-0.00020655,0.041748
752.72,0.1006,0.077652,0.21294,0.99777,-0.064723,-9.7311,0.26623,1.6729,0,5.7997,-4.3214,0.022081,0.12969,-0.1947,0.0015991,1.4111,0,0.043197
752.74,0.12573,0.086952,0.21671,0.99944,-0.075499,-9.7269,0.3015,1.6326,0,5.7998,-4.3197,0.023079,0.1424,-0.19955,0.010824,1.4111,0,0.051553
752.76,0.12536,0.061268,0.18505,0.99688,-0.061786,-9.7281,0.33661,1.5915,0,5.7998,-4.3179,0.023997,0.1551,-0.20439,0.020049,1.4111,0,0.059909
752.78,0.15562,0.12348,0.20944,0.99099,-0.068919,-9.7202,0.37104,1.5472,0,5.7998,-4.3162,0.024594,0.16781,-0.20924,0.029273,1.4111,0,0.068265
752.8,0.11002,0.12908,0.19315,0.99991,-0.071584,-9.7284,0.40486,1.5035,0.00080921,5.7998,-4.3145,0.025182,0.18052,-0.2113,0.038498,1.4111,0,0.076622
752.82,0.10463,0.10705,0.2062,0.99191,-0.066551,-9.7377,0.43544,1.4627,0.0059066,5.7997,-4.3127,0.025727,0.19323,-0.20229,0.047719,1.4097,0,0.083496
752.84,0.054441,0.11334,0.20007,0.99731,-0.063631,-9.7255,0.46563,1.4215,0.01,5.7998,-4.3111,0.026131,0.20594,-0.19329,0.056924,1.4021,0,0.083496
752.86,-0.029808,0.079843,0.16232,0.98588,-0.062995,-9.7201,0.49425,1.3786,0.01,5.8007,-4.31,0.026018,0.2167,-0.18428,0.066129,1.3945,0,0.083496
752.88,-0.0044907,0.10984,0.16941,0.99704,-0.05098,-9.7129,0.52104,1.3384,0.01,5.8017,-4.3088,0.025837,0.22049,-0.17528,0.075334,1.3869,0,0.083496
752.9,0.010793,0.10539,0.17136,1.0054,-0.073555,-9.7241,0.53143,1.3229,0.01,5.8035,-4.308,0.025139,0.22428,-0.17138,0.084538,1.3793,0,0.083496
752.92,0.016436,0.048247,0.21464,1.0014,-0.063442,-9.7276,0.54088,1.3091,0.01,5.8054,-4.3071,0.024458,0.22808,-0.18578,0.092175,1.373,0,0.083496
752.94,0.029434,0.045416,0.21205,0.98749,-0.069259,-9.7287,0.54593,1.3041,0.01,5.807,-4.3062,0.023852,0.23187,-0.20019,0.092175,1.373,0,0.083496
752.96,0.056072,0.070467,0.24436,0.99074,-0.065967,-9.7267,0.55286,1.2971,0.010955,5.8085,-4.3054,0.023214,0.23566,-0.21459,0.092175,1.373,0,0.083496
752.98,0.058018,0.071925,0.23244,0.99674,-0.06508,-9.7315,0.56759,1.2824,0.015863,5.8099,-4.3045,0.022454,0.23946,-0.229,0.092175,1.373,0,0.083496
753,0.054177,0.052388,0.20036,0.99193,-0.06696,-9.7125,0.58159,1.2692,0.02,5.8113,-4.3036,0.021702,0.24325,-0.2402,0.092175,1.373,0,0.083496
753.02,0.082902,0.10202,0.20424,0.99761,-0.071165,-9.7368,0.59174,1.2641,0.02,5.8125,-4.3027,0.020997,0.24704,-0.23784,0.092175,1.373,3.88E-05,0.083496
753.04,0.093006,0.077108,0.21346,0.99987,-0.069178,-9.7334,0.59629,1.2619,0.02,5.8133,-4.3017,0.020437,0.24539,-0.23547,0.092175,1.373,0.00029082,0.083496
753.06,0.070744,0.078687,0.20473,1.0062,-0.074115,-9.734,0.57629,1.2719,0.02,5.8122,-4.3004,0.020485,0.22451,-0.23311,0.092175,1.373,0.00054282,0.083496
753.08,0.083792,0.068677,0.22983,1.0023,-0.061531,-9.7325,0.54883,1.2865,0.019069,5.811,-4.2992,0.020522,0.20363,-0.23075,0.092175,1.373,0.00079482,0.083496
753.1,0.073343,0.060835,0.1929,1.0023,-0.070055,-9.7369,0.48847,1.3217,0.014039,5.8099,-4.298,0.020514,0.18275,-0.22168,0.092175,1.373,0.0010468,0.083496
753.12,0.075502,0.076391,0.18541,0.99609,-0.0723,-9.7246,0.42721,1.3559,0.01,5.8089,-4.2967,0.020504,0.16187,-0.18884,0.090397,1.373,0.0012018,0.083496
753.14,0.027816,0.061009,0.17481,0.98145,-0.065427,-9.7398,0.36227,1.3859,0.01,5.8078,-4.2955,0.020483,0.14098,-0.156,0.081222,1.373,0.00095293,0.083496
753.16,0.01819,0.059972,0.18262,0.99247,-0.067032,-9.7398,0.29839,1.4158,0.0090324,5.8068,-4.2943,0.02037,0.1201,-0.12316,0.072046,1.373,0.00070406,0.083496
753.18,0.018157,0.024173,0.20173,0.99653,-0.060549,-9.7189,0.23888,1.4456,0.0040731,5.8058,-4.293,0.01991,0.099222,-0.090316,0.062871,1.373,0.0004552,0.083496
753.2,0.00017705,0.054957,0.2392,0.98655,-0.058681,-9.7238,0.1792,1.4763,0,5.8048,-4.2918,0.019458,0.078342,-0.068813,0.053695,1.373,0.00020633,0.083496
753.22,0.017414,0.08269,0.25302,0.9985,-0.050775,-9.7272,0.11878,1.5115,0,5.8039,-4.2905,0.019042,0.057461,-0.089161,0.046087,1.373,0,0.083496
753.24,0.034722,0.076333,0.22268,0.99947,-0.050799,-9.7246,0.06615,1.5419,-0.00096247,5.8029,-4.2894,0.018576,0.042708,-0.10951,0.046087,1.373,0,0.083496
753.26,0.053717,0.089024,0.22392,1.0064,-0.064379,-9.7303,0.046177,1.5519,-0.0059559,5.802,-4.289,0.017924,0.049341,-0.12986,0.046087,1.373,0,0.083496
753.28,0.074503,0.061129,0.19952,0.98701,-0.069214,-9.7285,0.034741,1.5562,-0.01,5.8011,-4.2886,0.017298,0.055973,-0.1502,0.046087,1.373,0,0.083496
753.3,0.07752,0.067268,0.18824,0.9803,-0.057429,-9.7266,0.059678,1.5363,-0.01,5.8002,-4.2881,0.016776,0.062605,-0.16253,0.046087,1.373,0,0.083496
753.32,0.11505,0.099659,0.1727,1.0085,-0.059243,-9.733,0.084648,1.5172,-0.01,5.7993,-4.2876,0.016261,0.069238,-0.14594,0.047693,1.373,0,0.082042
753.34,0.10609,0.10015,0.19694,1.0011,-0.06045,-9.7294,0.10976,1.5021,-0.01,5.7985,-4.2871,0.015776,0.07587,-0.12936,0.056872,1.373,0,0.073727
753.36,0.089722,0.078551,0.20422,1.0043,-0.058241,-9.7171,0.13384,1.4862,-0.0090405,5.7976,-4.2865,0.015328,0.082502,-0.11277,0.066052,1.373,0,0.065412
753.38,0.028425,0.13492,0.2378,0.99433,-0.060902,-9.7226,0.15359,1.4664,-0.0041034,5.7967,-4.2858,0.015022,0.089135,-0.096191,0.075231,1.373,0,0.057097
753.4,0.037931,0.10098,0.19237,0.99374,-0.066952,-9.7273,0.17336,1.4475,-0.00083978,5.7958,-4.2852,0.014718,0.095767,-0.089304,0.08441,1.373,0,0.048781
753.42,0.035327,0.094522,0.22411,0.98084,-0.068665,-9.725,0.19325,1.4326,-0.0058133,5.795,-4.2845,0.014427,0.1024,-0.11868,0.090743,1.3741,-3.88E-05,0.043045
753.44,0.044691,0.10571,0.18883,1.0025,-0.058545,-9.7268,0.2116,1.4176,-0.01,5.7942,-4.284,0.014166,0.10837,-0.14805,0.081456,1.3818,-0.00029071,0.051457
753.46,0.04206,0.061118,0.21396,1.0042,-0.063978,-9.7135,0.22172,1.4024,-0.01,5.794,-4.2848,0.014052,0.1117,-0.17742,0.07217,1.3895,-0.00054259,0.05987
753.48,0.034777,0.07475,0.25872,0.99734,-0.065326,-9.7333,0.23092,1.3891,-0.01,5.7938,-4.2856,0.0139,0.11502,-0.20679,0.062883,1.3972,-0.00079446,0.068282
753.5,0.032843,0.077231,0.24038,0.99408,-0.070283,-9.7448,0.23598,1.384,-0.01,5.7935,-4.2862,0.013592,0.11835,-0.22788,0.053596,1.4049,-0.0010463,0.076694
753.52,0.070399,0.087428,0.19678,0.99262,-0.077782,-9.733,0.24102,1.379,-0.011021,5.7933,-4.2868,0.013289,0.12168,-0.21902,0.046087,1.4096,-0.00125,0.081899
753.54,0.094724,0.075196,0.18528,0.9938,-0.074396,-9.73,0.246,1.374,-0.016005,5.793,-4.2873,0.013003,0.125,-0.21017,0.046087,1.402,-0.00125,0.073557
753.56,0.058432,0.081583,0.20809,0.99493,-0.071853,-9.7363,0.25099,1.369,-0.019013,5.7926,-4.2877,0.01275,0.12833,-0.20131,0.046087,1.3944,-0.00125,0.065214
753.58,0.067952,0.055508,0.21129,0.98695,-0.07681,-9.7568,0.25596,1.364,-0.014037,5.7923,-4.288,0.012619,0.13166,-0.19246,0.046087,1.3868,-0.00125,0.056872
753.6,0.060559,0.061974,0.17886,0.99479,-0.076205,-9.7298,0.26094,1.3581,-0.010943,5.792,-4.2883,0.012488,0.13498,-0.183,0.046087,1.3792,-0.00125,0.04853
753.62,0.038332,0.081799,0.18993,0.98469,-0.076935,-9.7146,0.26594,1.3481,-0.015936,5.7916,-4.2885,0.012356,0.13831,-0.17136,0.046087,1.373,-0.0011565,0.043309
753.64,0.075774,0.070878,0.21655,0.98701,-0.073727,-9.7219,0.2709,1.3391,-0.02,5.7911,-4.2888,0.012185,0.14164,-0.15971,0.046087,1.373,-0.00065681,0.051654
753.66,0.045096,0.047778,0.20038,0.99759,-0.079067,-9.7312,0.27573,1.3343,-0.02,5.7901,-4.2896,0.011853,0.1442,-0.14806,0.046087,1.373,-0.00015712,0.059998
753.68,0.026192,0.049339,0.16153,1.0051,-0.070792,-9.7231,0.27822,1.3306,-0.02,5.7889,-4.2904,0.011495,0.14408,-0.13641,0.046087,1.373,0.00034258,0.068343
753.7,0.019953,0.036424,0.17065,1.0084,-0.062297,-9.7163,0.26263,1.3358,-0.02,5.7872,-4.2918,0.010964,0.14396,-0.12766,0.046087,1.373,0.00084227,0.076688
753.72,0.044198,0.0823,0.1888,1.0083,-0.069694,-9.7175,0.24715,1.3419,-0.02,5.7856,-4.2931,0.010446,0.14385,-0.12914,0.046087,1.373,0.00125,0.083496
753.74,0.053287,0.13107,0.21488,0.99776,-0.074045,-9.7294,0.23213,1.3519,-0.02,5.784,-4.2942,0.0099796,0.14373,-0.13062,0.046087,1.373,0.00125,0.083496
753.76,0.059716,0.1377,0.1802,0.99532,-0.062941,-9.7047,0.21718,1.3609,-0.020939,5.7824,-4.2952,0.0095738,0.14362,-0.1321,0.046087,1.373,0.00125,0.083496
753.78,0.049331,0.11053,0.21373,0.9941,-0.060659,-9.7077,0.20254,1.3658,-0.025818,5.781,-4.2961,0.0094106,0.1435,-0.13358,0.046087,1.373,0.00125,0.083496
753.8,0.067577,0.11721,0.18069,0.9759,-0.071115,-9.7227,0.18781,1.37,-0.03,5.7795,-4.297,0.0092466,0.14339,-0.13564,0.046087,1.373,0.00125,0.083496
753.82,0.063661,0.14013,0.18971,0.98265,-0.077961,-9.7214,0.1725,1.37,-0.03,5.778,-4.2977,0.0090788,0.14327,-0.14016,0.046087,1.3744,0.0011584,0.081967
753.84,0.039378,0.045488,0.16274,0.99635,-0.068359,-9.7306,0.16,1.37,-0.03,5.7766,-4.2989,0.0087195,0.14219,-0.14469,0.046087,1.382,0.00065985,0.073641
753.86,0.057203,0.077115,0.19447,1.0059,-0.069483,-9.7308,0.16,1.37,-0.03,5.7752,-4.3015,0.0075457,0.13755,-0.14922,0.046087,1.3896,0.00016127,0.065315
753.88,0.031365,0.08115,0.18882,0.99297,-0.057981,-9.7164,0.16085,1.3683,-0.030854,5.7738,-4.3041,0.0063771,0.13292,-0.15374,0.046087,1.3972,-0.00033732,0.056989
753.9,0.011688,0.04201,0.2086,0.9877,-0.056999,-9.7212,0.16586,1.3583,-0.035859,5.7724,-4.3064,0.0052319,0.12828,-0.15981,0.046087,1.4048,-0.0008359,0.048663
753.92,-0.023704,0.05574,0.22278,1.0015,-0.070987,-9.7224,0.17175,1.3482,-0.039123,5.7711,-4.3087,0.0041028,0.12364,-0.17153,0.046087,1.4098,-0.0012074,0.043169
753.94,-0.0052493,0.07816,0.23999,1.0115,-0.075999,-9.7264,0.18192,1.3381,-0.034039,5.7697,-4.3108,0.0030449,0.11901,-0.18324,0.046087,1.4021,-0.00095634,0.051556
753.96,0.053923,0.14634,0.21439,1.007,-0.081382,-9.7043,0.19204,1.328,-0.03,5.7684,-4.3129,0.0019825,0.11437,-0.19496,0.046087,1.3945,-0.00070522,0.059943
753.98,0.072809,0.11352,0.20076,0.98851,-0.072522,-9.72,0.20197,1.318,-0.03,5.7671,-4.3147,0.00090379,0.10973,-0.20667,0.046087,1.3868,-0.00045411,0.06833
754,0.11313,0.11008,0.21743,0.98467,-0.072174,-9.7267,0.2119,1.3081,-0.030951,5.7658,-4.3165,-0.00015741,0.1051,-0.21271,0.046087,1.3792,-0.000203,0.076716
754.02,0.12399,0.093694,0.18922,0.98852,-0.062849,-9.7308,0.22181,1.2982,-0.035906,5.7645,-4.3181,-0.001149,0.10046,-0.19801,0.047855,1.373,0,0.081895
754.04,0.10742,0.073086,0.16375,0.99043,-0.057335,-9.7317,0.23168,1.2883,-0.04,5.7632,-4.3196,-0.0020261,0.095824,-0.18332,0.057079,1.373,0,0.073539
754.06,0.080832,0.056683,0.19991,0.9927,-0.077803,-9.7304,0.24136,1.2786,-0.04,5.7618,-4.3207,-0.002404,0.094671,-0.16863,0.066304,1.373,0,0.065183
754.08,0.072687,0.1092,0.18982,0.99369,-0.068856,-9.7247,0.25,1.2734,-0.040566,5.7604,-4.3217,-0.0027233,0.10606,-0.15394,0.075529,1.373,0,0.056827
754.1,0.04781,0.11212,0.17571,0.98756,-0.079813,-9.7348,0.25,1.3048,-0.045805,5.7588,-4.3225,-0.0025941,0.11744,-0.14421,0.084753,1.373,0,0.048471
754.12,0.036801,0.09482,0.17309,0.99535,-0.063122,-9.7326,0.24901,1.334,-0.05099,5.7572,-4.3232,-0.002475,0.12883,-0.15327,0.09038,1.3744,-4.87E-05,0.043374
754.14,0.016243,0.12256,0.18267,0.99591,-0.057928,-9.7258,0.24404,1.3538,-0.055959,5.7556,-4.3238,-0.0023941,0.14022,-0.16234,0.081197,1.382,-0.00029774,0.051692
754.16,0.0026509,0.093754,0.17184,0.99432,-0.062507,-9.7262,0.24,1.3746,-0.06,5.7541,-4.3244,-0.0023525,0.1516,-0.1714,0.072014,1.3896,-0.0005468,0.06001
754.18,0.0071663,0.079382,0.21769,0.99959,-0.065199,-9.7196,0.24,1.3993,-0.06,5.7527,-4.3248,-0.0024641,0.16299,-0.18046,0.062832,1.3972,-0.00079585,0.068328
754.2,0.017631,0.12179,0.22622,0.99035,-0.068775,-9.7424,0.24,1.4241,-0.06,5.7512,-4.3253,-0.0025777,0.17438,-0.1935,0.053649,1.4048,-0.0010449,0.076647
754.22,0.024975,0.14583,0.21022,0.98182,-0.072018,-9.742,0.24,1.4492,-0.06,5.7497,-4.3256,-0.0027,0.18576,-0.22199,0.046087,1.4097,-0.0011615,0.08054
754.24,0.071151,0.1038,0.20389,0.99593,-0.079651,-9.7284,0.24082,1.4741,-0.06,5.7485,-4.3259,-0.0028001,0.19715,-0.25048,0.046087,1.4021,-0.00066013,0.063796
754.26,0.11998,0.10467,0.19594,1.0096,-0.067867,-9.7305,0.24569,1.4985,-0.06,5.7484,-4.3257,-0.0028004,0.20229,-0.27897,0.046087,1.3945,-0.00015878,0.047051
754.28,0.10015,0.070385,0.21187,0.99247,-0.060579,-9.7404,0.25363,1.5194,-0.06,5.7484,-4.3254,-0.002787,0.1866,-0.30747,0.046087,1.3868,0.00034257,0.030307
754.3,0.11355,0.10865,0.18674,0.9878,-0.056405,-9.7378,0.28483,1.5142,-0.06,5.7494,-4.3246,-0.0026823,0.17091,-0.3196,0.046087,1.3792,0.00084393,0.013562
754.32,0.086963,0.072737,0.20196,0.99823,-0.076115,-9.7286,0.31481,1.51,-0.06,5.7504,-4.3238,-0.0025843,0.15521,-0.271,0.046087,1.3744,0.0012025,0.0031712
754.34,0.095685,0.074731,0.17898,1.0002,-0.082311,-9.7339,0.33972,1.51,-0.06,5.7512,-4.323,-0.0025127,0.13952,-0.22241,0.046087,1.382,0.00095272,0.019858
754.36,0.13087,0.037386,0.22286,0.99011,-0.056408,-9.7439,0.36557,1.5091,-0.059072,5.7519,-4.3222,-0.0024552,0.12382,-0.17381,0.046087,1.3897,0.00070291,0.036544
754.38,0.087561,0.061139,0.21211,0.99474,-0.064057,-9.7288,0.39554,1.5041,-0.054077,5.7526,-4.3214,-0.002457,0.10813,-0.12521,0.046087,1.3973,0.0004531,0.05323
754.4,0.0582,0.077658,0.23121,0.99694,-0.066346,-9.7228,0.42452,1.4991,-0.049096,5.7532,-4.3206,-0.0024626,0.092437,-0.087245,0.046087,1.4049,0.00020329,0.069917
754.42,0.093416,0.079377,0.21295,0.99917,-0.077567,-9.7279,0.44915,1.4942,-0.044171,5.7537,-4.3198,-0.0024842,0.076743,-0.090021,0.047807,1.4097,4.66E-05,0.080381
754.44,0.074827,0.11071,0.23747,1.0061,-0.060598,-9.7254,0.47078,1.4892,-0.04,5.7543,-4.3189,-0.0026017,0.063469,-0.092798,0.057042,1.402,0.00029711,0.06365
754.46,0.080319,0.098482,0.20331,1.0098,-0.055484,-9.7301,0.47586,1.4841,-0.04,5.7557,-4.3178,-0.0032212,0.060509,-0.095574,0.066277,1.3944,0.00054759,0.046919
